file,class,method,variable,usage
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/FindCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.FindCourseCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",courseDAO,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/FindCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.FindCourseCommand,FindCourseCommand/1[br.ufmg.engsoft.reprova.database.CourseDAO],courseDAO,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"Questions/2[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO]",json,5
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,"Questions/2[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO]",questionsDAO,5
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,setup/0,logger,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,setup/0,json,2
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/api/Questions.java,br.ufmg.engsoft.reprova.routes.api.Questions,setup/0,questionsDAO,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",courses,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",statement,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",description,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",theme,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",id,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,"Question/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.List<br.ufmg.engsoft.reprova.model.Course>,boolean]",isPrivate,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],courses,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],statement,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],description,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],theme,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],id,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,equals/1[java.lang.Object],isPrivate,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,courses,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,statement,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,description,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,theme,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,id,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,toString/0,isPrivate,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,courses,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,statement,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,description,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,theme,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,id,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Question.java,br.ufmg.engsoft.reprova.model.Question,hashCode/0,isPrivate,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,equals/1[java.lang.Object],ref,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,equals/1[java.lang.Object],year,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,"Course/3[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String]",ref,5
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,"Course/3[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String]",courseName,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,"Course/3[int,br.ufmg.engsoft.reprova.model.Course.Reference,java.lang.String]",year,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,hashCode/0,ref,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,hashCode/0,year,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,toString/0,ref,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/Course.java,br.ufmg.engsoft.reprova.model.Course,toString/0,year,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/ScoreFile.java,br.ufmg.engsoft.reprova.model.ScoreFile,ScoreFile/1[java.lang.String],format,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/ScoreFile.java,br.ufmg.engsoft.reprova.model.ScoreFile,getFormat/0,format,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/ScoreFile.java,br.ufmg.engsoft.reprova.model.ScoreFile,validateFile/1[java.lang.String],format,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/AddScoreCommand.java,br.ufmg.engsoft.reprova.routes.command.AddScoreCommand,AddScoreCommand/1[br.ufmg.engsoft.reprova.database.CourseDAO],courseDAO,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/AddScoreCommand.java,br.ufmg.engsoft.reprova.routes.command.AddScoreCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",logger,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/AddScoreCommand.java,br.ufmg.engsoft.reprova.routes.command.AddScoreCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",courseDAO,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/model/FineGrainedCourse.java,br.ufmg.engsoft.reprova.model.FineGrainedCourse,getScore/0,students,2
